Mun;Referen;N.Fijo ;D;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic.;Om
088;7974037;6077964;P;003;001;1140;GAZTELU                       ;038 ;  ;BC;B  ;V ;    34,57;EU
088;7974038;5197315;C;001;001;1120;DISEMINADOS                   ;001W;  ;00;   ;V ;    15,00;MI
088;7974040;6044194;T;001;001;1120;DISEMINADOS                   ;038W;  ;00;   ;U ;    12,00;MP
088;7974041;6033522;T;001;001;1140;GAZTELU                       ;001W;  ;00;   ;D ;    40,00;MP
088;7974042;5197196;C;001;001;1120;DISEMINADOS                   ;053 ;  ;00;   ;V ;    48,00;MI
088;7974043;5197201;H;001;001;1120;DISEMINADOS                   ;049 ;  ;00;   ;B ;   153,00;MI
088;7974043;5197201;H;002;001;1120;DISEMINADOS                   ;049 ;  ;01;   ;V ;   153,00;MI
088;7974043;5197201;H;003;001;1120;DISEMINADOS                   ;049 ;  ;BH;   ;B ;   100,00;MI
088;7974044;5197326;L;001;001;1140;GAZTELU                       ;017 ;  ;00;   ;B ;   154,00;MI
088;7974044;5197326;L;002;001;1140;GAZTELU                       ;017 ;  ;01;   ;V ;    54,00;MI
088;7974044;5197326;L;003;001;1140;GAZTELU                       ;017 ;  ;01;   ;B ;   100,00;MI
088;7974044;5197326;L;004;001;1140;GAZTELU                       ;017 ;  ;BH;   ;B ;    77,00;MI
088;7974045;5063214;D;001;001;1120;DISEMINADOS                   ;042 ;  ;SM;   ;B ;    32,00;MI
088;7974045;5063214;D;002;001;1120;DISEMINADOS                   ;042 ;  ;00;   ;V ;    64,00;MI
088;7974045;5063214;D;003;001;1120;DISEMINADOS                   ;042 ;  ;01;   ;V ;    64,00;MI
088;7974046;3136057;C;001;001;1140;GAZTELU                       ;018 ;  ;00;   ;V ;    90,00;EC
088;7974046;3136057;C;002;001;1140;GAZTELU                       ;018 ;  ;01;   ;V ;    90,00;EC
088;7974046;3136057;C;003;001;1140;GAZTELU                       ;018 ;  ;BH;   ;T ;    90,00;EC
088;7974046;3136057;C;004;002;1140;GAZTELU                       ;018 ;  ;00;   ;G ;    90,00;EC
088;7974046;3136057;C;005;002;1140;GAZTELU                       ;018 ;  ;BH;   ;B ;    90,00;EC
088;7974047;3136031;V;001;001;1120;DISEMINADOS                   ;039 ;  ;00;   ;G ;    40,00;MI
088;7974047;3136031;V;002;001;1120;DISEMINADOS                   ;039 ;  ;00;   ;T ;    40,00;MI
088;7974047;3136031;V;003;001;1120;DISEMINADOS                   ;039 ;  ;01;   ;V ;    80,00;MI
088;7974048;3162866;K;001;001;1140;GAZTELU                       ;025 ;  ;00;   ;V ;   141,00;MI
088;7974048;3162866;K;002;001;1140;GAZTELU                       ;025 ;  ;01;   ;V ;   141,00;MI
088;7974048;3162866;K;003;001;1140;GAZTELU                       ;025 ;  ;BH;   ;V ;   141,00;MI
088;7974049;6088602;B;001;001;1120;DISEMINADOS                   ;035W;  ;SM;   ;V ;     2,41;MI
088;7974049;6088602;B;002;001;1120;DISEMINADOS                   ;035W;  ;SM;   ;G ;   100,07;MI
088;7974049;6088602;B;003;001;1120;DISEMINADOS                   ;035W;  ;00;   ;V ;   101,87;EU
088;7974049;6088602;B;004;001;1120;DISEMINADOS                   ;035W;  ;BC;   ;V ;    76,60;EU
088;7974050;3136033;X;001;001;1140;GAZTELU                       ;020 ;  ;00;   ;V ;   230,00;MI
088;7974050;3136033;X;002;001;1140;GAZTELU                       ;020 ;  ;01;   ;V ;   115,00;MI
088;7974050;3136033;X;003;001;1140;GAZTELU                       ;020 ;  ;01;   ;H ;   115,00;MI
088;7974050;3136033;X;004;001;1140;GAZTELU                       ;020 ;  ;BH;   ;H ;   115,00;MI
088;7974051;6033179;C;001;001;1140;GAZTELU                       ;021 ;  ;00;   ;V ;    79,00;MP
088;7974051;6033179;C;002;001;1140;GAZTELU                       ;021 ;  ;00;   ;B ;    79,00;MP
088;7974051;6033179;C;003;001;1140;GAZTELU                       ;021 ;  ;01;   ;V ;   158,00;MP
088;7974051;6033179;C;004;001;1140;GAZTELU                       ;021 ;  ;BH;   ;T ;    45,00;MI
088;7974052;3136026;X;001;001;1140;GAZTELU                       ;022 ;  ;01;   ;B ;    53,00;MI
088;7974052;3136026;X;002;001;1140;GAZTELU                       ;022 ;  ;01;   ;V ;   100,00;MI
088;7974052;3136026;X;003;001;1140;GAZTELU                       ;022 ;  ;BH;   ;B ;    76,00;MI
088;7974052;3136026;X;004;001;1140;GAZTELU                       ;022 ;  ;00;   ;B ;   153,00;MI
088;7974053;3136056;R;001;001;1140;GAZTELU                       ;023 ;  ;00;   ;V ;    35,00;MI
088;7974053;3136056;R;002;001;1140;GAZTELU                       ;023 ;  ;01;   ;V ;   135,00;MI
088;7974053;3136056;R;003;001;1140;GAZTELU                       ;023 ;  ;BH;   ;V ;    65,00;MI
088;7974053;3136056;R;004;001;1140;GAZTELU                       ;023 ;  ;00;   ;B ;   100,00;MI
088;7974054;5125433;H;001;001;1120;DISEMINADOS                   ;043 ;  ;00;   ;V ;   147,00;EC
088;7974055;3136038;Y;001;001;1140;GAZTELU                       ;024 ;  ;00;   ;B ;   212,00;MI
088;7974055;3136038;Y;002;001;1140;GAZTELU                       ;024 ;  ;01;   ;V ;   212,00;MI
088;7974055;3136038;Y;003;001;1140;GAZTELU                       ;024 ;  ;02;   ;V ;   212,00;MI
088;7974055;3136038;Y;004;001;1140;GAZTELU                       ;024 ;  ;BH;   ;B ;   148,00;MI
088;7974056;4002354;E;001;001;1120;DISEMINADOS                   ;038 ;  ;00;   ;V ;   112,00;MI
088;7974056;4002354;E;002;001;1120;DISEMINADOS                   ;038 ;  ;01;   ;V ;    91,00;MI
088;7974057;3136046;Q;001;001;1140;GAZTELU                       ;030 ;  ;00;   ;B ;   238,00;MI
088;7974057;3136046;Q;002;001;1140;GAZTELU                       ;030 ;  ;01;   ;V ;   101,00;MI
